[0 0]
[['X' '-' '-']
 ['-' 'O' '-']
 ['-' '-' '-']]
         4289602 function calls (4231841 primitive calls) in 15.862 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   616651    3.688    0.000    3.688    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   302934    1.855    0.000    1.855    0.000 {built-in method numpy.core.multiarray.array}
   616651    1.619    0.000    5.569    0.000 fromnumeric.py:64(_wrapreduction)
    91738    1.582    0.000    4.306    0.000 board.py:35(check_diag_win)
    55505    0.936    0.000   12.790    0.000 board.py:40(evaluate)
   412977    0.735    0.000    4.917    0.000 fromnumeric.py:2016(all)
  55505/1    0.728    0.000   15.560   15.560 minimax2.py:3(minimax)
   105394    0.663    0.000    3.001    0.000 board.py:29(check_row_win)
    98278    0.553    0.000    2.379    0.000 board.py:32(check_col_win)
    55505    0.453    0.000    0.821    0.000 board.py:12(place)
   127748    0.434    0.000    1.942    0.000 fromnumeric.py:49(_wrapfunc)
   203672    0.362    0.000    1.749    0.000 fromnumeric.py:1933(any)
    63874    0.351    0.000    2.594    0.000 board.py:26(availables_moves)
    63874    0.297    0.000    1.062    0.000 fromnumeric.py:36(_wrapit)
   223401    0.281    0.000    0.281    0.000 {built-in method builtins.getattr}
    63874    0.261    0.000    0.261    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
   616695    0.202    0.000    0.202    0.000 {method 'items' of 'dict' objects}
    63874    0.141    0.000    2.243    0.000 numeric.py:790(argwhere)
    63874    0.085    0.000    0.473    0.000 fromnumeric.py:1577(nonzero)
    55505    0.085    0.000    0.085    0.000 board.py:8(__init__)
    63874    0.075    0.000    1.629    0.000 fromnumeric.py:552(transpose)
    63874    0.063    0.000    0.063    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    63876    0.052    0.000    0.668    0.000 numeric.py:433(asarray)
    20/19    0.051    0.003    0.059    0.003 {built-in method _imp.create_dynamic}
    55505    0.043    0.000    0.368    0.000 function_base.py:689(copy)
      125    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
35713/35679    0.020    0.000    0.020    0.000 {built-in method builtins.len}
